Row Labels,Price Low,Price High,Average Volume,Average Price,Volatility,,,,
D,$61.53 ,$77.50 ,"4,109,886",$70.86 ,23%,,,,
DAL,$45.08 ,$61.32 ,"7,040,428",$53.30 ,30%,,,,
DE,$128.32 ,$167.82 ,"2,445,332",$149.75 ,26%,,,,
DFS,$54.36 ,$80.36 ,"2,105,292",$71.70 ,36%,,,,
DG,$86.87 ,$123.50 ,"2,393,730",$107.02 ,34%,,,,
DGX,$78.95 ,$116.49 ,"1,132,821",$98.35 ,38%,,,,
DHI,$32.39 ,$46.91 ,"5,155,479",$40.49 ,36%,,,,
DHR,$94.59 ,$134.50 ,"2,607,132",$106.51 ,37%,,,,
DIS,$97.68 ,$130.90 ,"9,020,288",$110.30 ,30%,,,,
DISCA,$20.60 ,$34.89 ,"4,485,671",$27.79 ,51%,,,,
DISCK,$19.25 ,$31.55 ,"2,830,999",$25.80 ,48%,,,,
DISH,$23.22 ,$39.50 ,"3,094,091",$32.47 ,50%,,,,
DLR,$100.05 ,$125.10 ,"1,323,985",$112.63 ,22%,,,,
DLTR,$78.78 ,$106.90 ,"3,129,005",$90.90 ,31%,,,,
DOV,$65.83 ,$97.65 ,"1,506,864",$82.47 ,39%,,,,
DRE,$24.67 ,$31.07 ,"2,236,151",$28.47 ,22%,,,,
DRI,$84.37 ,$124.00 ,"1,450,253",$106.31 ,37%,,,,
DTE,$94.25 ,$126.07 ,"1,177,053",$111.84 ,28%,,,,
DUK,$71.96 ,$91.67 ,"3,672,271",$83.17 ,24%,,,,
DVA,$48.25 ,$79.11 ,"1,588,133",$63.97 ,48%,,,,
DVN,$20.37 ,$46.54 ,"7,448,648",$35.03 ,75%,,,,
DWDP,$32.88 ,$48.37 ,"14,331,610",$41.13 ,38%,,,,
DXC,$49.19 ,$96.75 ,"2,355,852",$76.15 ,62%,,,,
EA,$73.91 ,$151.26 ,"4,971,177",$110.78 ,70%,,,,
EBAY,$26.01 ,$43.00 ,"11,619,877",$34.37 ,49%,,,,
ECL,$135.77 ,$185.31 ,"1,103,168",$153.42 ,32%,,,,
ED,$71.12 ,$85.87 ,"1,953,625",$78.57 ,19%,,,,
