105,CMI,124,172,1434977,146,33,Industrials,LOW,STABLE,ANY
106,CMS,43,56,2466164,50,28,Utilities,HIGH,STABLE,BUDGET
107,CNC,50,74,3419464,64,39,Health Care,HIGH,GROWTH,BUDGET
108,CNP,25,31,4839296,28,23,Utilities,HIGH,STABLE,BUDGET
109,COF,70,101,2634263,90,35,Financials,HIGH,STABLE,BUDGET
110,COG,21,28,6291964,24,28,Energy,HIGH,STABLE,BUDGET
111,COO,220,302,372044,258,32,Health Care,LOW,STABLE,ANY
112,COP,57,80,6582049,69,34,Energy,HIGH,STABLE,BUDGET
113,COST,187,247,2223537,218,28,Consumer Staples,LOW,STABLE,ANY
114,COTY,6,18,9697425,12,106,Consumer Staples,HIGH,GROWTH,BUDGET
115,CPB,32,44,3747658,38,31,Consumer Staples,HIGH,STABLE,BUDGET
116,CPRI,36,76,2771301,57,71,Consumer Discretionary,HIGH,GROWTH,BUDGET
117,CPRT,45,67,2031799,55,41,Industrials,LOW,GROWTH,BUDGET
118,CRM,114,167,5702559,144,37,Information Technology,HIGH,STABLE,ANY
119,CSCO,40,56,22253581,46,35,Information Technology,HIGH,STABLE,BUDGET
120,CSX,55,77,5399138,69,32,Industrials,HIGH,STABLE,BUDGET
121,CTAS,156,217,548614,191,32,Industrials,LOW,STABLE,ANY
122,CTL,12,24,12104873,18,71,Communication Services,HIGH,GROWTH,BUDGET
123,CTSH,59,83,3468156,74,32,Information Technology,HIGH,STABLE,BUDGET
124,CTXS,94,117,1861167,106,22,Information Technology,LOW,STABLE,ANY
125,CVS,52,82,9792803,68,45,Health Care,HIGH,GROWTH,BUDGET
126,CVX,100,131,6479885,120,26,Energy,HIGH,STABLE,ANY
127,CXO,93,163,2050728,131,53,Energy,LOW,GROWTH,ANY
128,D,62,78,4109886,71,23,Utilities,HIGH,STABLE,BUDGET
129,DAL,45,61,7040428,53,30,Industrials,HIGH,STABLE,BUDGET
130,DE,128,168,2445332,150,26,Industrials,HIGH,STABLE,ANY
131,DFS,54,80,2105292,72,36,Financials,LOW,STABLE,BUDGET
132,DG,87,124,2393730,107,34,Consumer Discretionary,HIGH,STABLE,ANY
133,DGX,79,116,1132821,98,38,Health Care,LOW,GROWTH,BUDGET
134,DHI,32,47,5155479,40,36,Consumer Discretionary,HIGH,STABLE,BUDGET
135,DHR,95,135,2607132,107,37,Health Care,HIGH,STABLE,ANY
136,DIS,98,131,9020288,110,30,Communication Services,HIGH,STABLE,ANY
137,DISCA,21,35,4485671,28,51,Communication Services,HIGH,GROWTH,BUDGET
138,DISCK,19,32,2830999,26,48,Communication Services,HIGH,GROWTH,BUDGET
139,DISH,23,40,3094091,32,50,Communication Services,HIGH,GROWTH,BUDGET
140,DLR,100,125,1323985,113,22,Real Estate,LOW,STABLE,ANY
